Location name,Amount spent (BRL)
Acre (state),44525
Alagoas,208151
Amapá,78885
Amazonas,395261
Bahia,553226
Ceará,460083
Espírito Santo,282410
Federal District,330763
Goiás,346879
Maranhão,458199
Mato Grosso,262887
Mato Grosso do Sul,464083
Minas Gerais,1427657
Paraná,832456
Paraíba,170894
Pará,277259
Pernambuco,603380
Piauí,171047
Rio Grande do Norte,195199
Rio Grande do Sul,696731
Rio de Janeiro (state),1262567
Rondônia,107307
Roraima,82042
Santa Catarina,630054
Sergipe,89449
São Paulo (state),3419032
Tocantins,108514
Unknown,4906