Location name,Amount spent (USD)
Alabama,362180
Alaska,40165
American Samoa,≤100
Arizona,445266
Arkansas,263072
California,2578163
Colorado,191951
Connecticut,82914
Delaware,27743
Florida,598819
Georgia,1211973
Guam,9524
Hawaii,40521
Idaho,119301
Illinois,541716
Indiana,137245
Iowa,147108
Kansas,76608
Kentucky,165151
Louisiana,116867
Maine,53567
Maryland,214111
Massachusetts,177459
Michigan,384072
Minnesota,190499
Mississippi,69485
Missouri,157564
Montana,56837
Nebraska,32434
Nevada,235777
New Hampshire,165713
New Jersey,264002
New Mexico,76967
New York,586929
North Carolina,492143
North Dakota,17293
Northern Mariana Islands,≤100
Ohio,324834
Oklahoma,103439
Oregon,261242
Pennsylvania,584195
Puerto Rico,4505
Rhode Island,36250
South Carolina,131859
South Dakota,44958
Tennessee,138357
Texas,1066893
Unknown,≤100
Utah,81950
Vermont,30167
Virgin Islands (U.S.),≤100
Virginia,243435
Washington,192020
"Washington, District of Columbia",98334
West Virginia,120866
Wisconsin,279912
Wyoming,35495